pickup_taxizone_id,average_fare,total_rides,total_fare,average_trip_distance,average_percent_tip
163.0,12.08128977091723,8029674,97008818.36000004,2.4364548722650445,15.26345819427855
164.0,11.650130108764586,7173383,83570845.27000003,2.378797699774293,15.634571629695142
165.0,22.709812704302497,11319,257052.36999999997,5.375252230762435,3.369984223377418
166.0,11.94920855713938,1556221,18595609.290000003,2.6613557650230937,14.451855928298436
167.0,18.629682172174277,9502,177019.24,4.4593548726583885,3.2570734683866966
168.0,14.859425457113963,62293,925638.1900000001,3.2755901947249284,4.23731972816211
169.0,21.476815852408606,8781,188587.91999999998,5.213820749345178,3.095589407678604
170.0,11.481520213707002,9548026,109625853.52000001,2.2612923823207125,16.46448198367477
171.0,28.763061853400835,4543,130670.59,7.277213295179396,4.485056732580451
172.0,41.81974093264249,193,8071.21,8.5820207253886,6.701999393818664
173.0,15.52051455348292,11097,172231.14999999997,3.7694466973055785,3.8563532803479412
174.0,24.66335552018521,6911,170448.44999999998,6.024060193893793,2.8048069638884696
175.0,28.487527114967456,2766,78796.49999999999,7.40112798264642,3.9418939227995518
176.0,56.21981981981982,111,6240.4,10.371981981981984,10.81634317855311
177.0,22.800267305315217,12944,295126.66000000015,5.307139987639061,4.164903423395473
178.0,16.67885370741483,4990,83227.48000000001,3.6854729458917834,3.6323120162118743
179.0,12.334823506246053,172669,2129841.6399999997,2.9276475800520063,9.28740012935394
180.0,34.45660118775697,4378,150851.0,6.56593421653723,5.716726404608472
181.0,13.485263061594505,300595,4053602.6500000004,3.186525923584891,13.713376453113696
182.0,24.350352036525294,8323,202667.98,6.51128919860627,2.9217280072860863
183.0,30.447462311557793,1990,60590.450000000004,8.240321608040201,3.058670317069046
184.0,40.390608519269776,493,19912.57,7.862170385395537,4.269534002540912
185.0,22.335256908904803,4885,109107.72999999997,5.4036192425793255,3.269554746128124
186.0,12.043312959996584,10491654,126354272.59,2.2832717577228476,15.08665954713456
187.0,39.99928934010152,197,7879.86,9.83492385786802,11.213104482744633
188.0,17.215624275749253,44011,757676.8400000003,3.9526000318102286,5.729856123950758
189.0,13.378711960170062,71504,956631.42,3.1012239874692322,13.75212330449948
190.0,15.197005702066999,14030,213213.99,3.552408410548824,11.817998994191447
191.0,33.55659077072934,8213,275600.2800000001,9.177631803238766,2.3439594091256684
192.0,22.211895029018418,3963,88025.73999999999,5.563171839515518,4.720156966416574
193.0,9.926921628382479,179491,1781793.0899999994,3.1778996161367408,6.742717185723613
194.0,37.632044072553406,19241,724078.16,6.177168026609845,16.183926931056146
195.0,23.231893581413672,20316,471979.1500000002,5.981137527072258,10.553861890212591
196.0,23.00230956482661,26702,614207.6700000002,5.006478915437046,7.71758696242906
197.0,31.8025415806066,18398,585103.1600000003,5.999393955864769,6.654558122041064
198.0,18.99608019419221,11123,211293.39999999994,4.385727771284725,8.055384885693673
199.0,14.61864406779661,59,862.5,3.4477966101694912,17.645288472049767
200.0,27.87559056678557,5046,140660.22999999998,7.158252080856124,6.631763535622117
201.0,41.42540380047506,842,34880.19,9.27250593824228,4.611117230390684
202.0,18.590710762331838,13380,248743.71,4.072712257100149,11.35381844015394
203.0,39.30385411187097,5703,224149.88000000012,10.527792389970191,3.327234993829466
204.0,62.17574712643678,87,5409.29,4.432183908045977,13.198641556555014
205.0,33.817155859916824,11536,390114.7100000005,9.173063453536757,1.7618251176247997
206.0,42.88185185185185,594,25471.82,10.253148148148146,7.131334348575585
207.0,9.935557524286672,16367,162615.26999999996,1.5207087432027862,3.7036391790322636
208.0,31.683237121667666,4989,158067.66999999998,7.7628843455602325,3.460071090382894
209.0,16.019343766716236,611307,9792736.980000002,4.0077755203195755,14.56649420461627
210.0,30.768304853888083,8076,248484.83000000016,8.031255572065378,2.5600422587297538
211.0,11.960076220554965,2412079,28848648.69,2.4377381628047847,15.88061750092362
212.0,20.003265337900967,6422,128460.97,5.021558704453441,3.4780944293790004
213.0,26.068455440787904,12489,325568.9400000001,6.925683401393225,2.760050941275712
214.0,43.164718309859154,426,18388.17,10.706431924882631,11.367572936770241
215.0,47.72402324140067,32270,1540054.2299999997,12.911311434769134,11.291028467823304
216.0,42.50795922346321,35903,1526163.2599999995,8.878317689329583,9.13271755777202
217.0,12.580667195193188,23966,301508.26999999996,2.74856922306601,7.686577756850896
218.0,30.849642056074792,10700,330091.1700000003,8.356394392523365,1.9794220488732723
219.0,51.12672241627287,24335,1244168.7900000003,14.358243271008837,10.031101108357898
220.0,21.499781968179136,10182,218910.77999999997,5.382992535847574,4.970066015550844
