dropoff_taxizone_id,dropoff_hour,dropoff_weekday,average_fare,total_rides,total_fare,average_trip_distance,total_trip_distance
261.0,12,3,19.42459755896421,12126,235542.66999999998,4.70729919181923,57080.709999999985
261.0,12,4,18.450860842458635,12511,230838.72,4.516419151146991,56504.920000000006
261.0,12,5,16.039154092024084,13453,215774.74,4.125887906043261,55505.56999999999
261.0,12,6,15.846958737053125,11972,189719.79,4.219108753758771,50511.170000000006
261.0,13,0,18.846462643926934,11551,217695.49000000002,5.057141373041294,58415.03999999999
261.0,13,1,18.539135802469136,11340,210233.8,4.627115520282186,52471.48999999999
261.0,13,2,18.634681091414667,11508,214447.90999999997,4.698760862009037,54073.34
261.0,13,3,18.701577428935085,11785,220398.09,4.638068731438269,54659.64
261.0,13,4,18.03272232774996,11582,208854.99000000002,4.450577620445519,51546.590000000004
261.0,13,5,15.68914223034735,13675,214549.02000000002,3.9883663619744056,54540.909999999996
261.0,13,6,15.903373602892836,12168,193512.25000000003,4.242892833662064,51627.52
261.0,14,0,18.366938138970717,11542,211991.2,5.0201706809911615,57942.80999999999
261.0,14,1,18.48006759684548,11539,213241.5,4.805935523008925,55455.68999999999
261.0,14,2,18.235287649542578,11368,207298.75000000003,4.669224137931035,53079.740000000005
261.0,14,3,18.09926468099509,11818,213897.11,4.463228972753426,52746.439999999995
261.0,14,4,17.560346380325594,11548,202786.87999999998,4.269664877034985,49306.090000000004
261.0,14,5,15.573433893352812,13690,213200.31,3.9516749452154865,54098.43000000001
261.0,14,6,16.188085860250496,12136,196458.61000000002,4.362746374423204,52946.29000000001
261.0,15,0,18.833060822226397,10654,200647.43000000002,5.153368687816783,54903.99
261.0,15,1,18.424741579852334,9887,182165.42,4.740736320420755,46871.66
261.0,15,2,18.848970326098357,9537,179762.63000000003,4.754343084827514,45342.170000000006
261.0,15,3,18.98112259090006,10066,191063.98,4.716847804490365,47479.79000000001
261.0,15,4,18.696030616224647,10256,191746.49,4.5255625975038996,46414.17
261.0,15,5,15.81614918918919,13875,219449.07,3.9979906306306296,55472.11999999999
261.0,15,6,16.575969518760875,12073,200121.68000000002,4.5101076782904,54450.530000000006
261.0,16,0,20.58434412823029,9171,188779.02,5.490676044051903,50354.990000000005
261.0,16,1,20.5606897810219,8220,169008.87000000002,5.162855231143553,42438.670000000006
261.0,16,2,20.72522818879209,7691,159397.72999999998,5.145629957092706,39575.04
261.0,16,3,20.852719118400824,7804,162734.62000000002,5.0366158380317785,39305.75
261.0,16,4,20.225457204629276,7863,159032.77,4.773347322904744,37532.83
261.0,16,5,16.462055462184875,11900,195898.46000000002,4.172526890756303,49653.07
261.0,16,6,17.814591957691256,10967,195372.63,4.841003009027082,53091.280000000006
261.0,17,0,20.91196222685846,9107,190445.24,5.6361579005160864,51328.49
261.0,17,1,20.677125703564727,7995,165313.62,5.340687929956223,42698.8
261.0,17,2,21.150314685314687,7722,163322.73,5.366127946127946,41437.24
261.0,17,3,21.28889934016566,7123,151640.83,5.235350273761055,37291.399999999994
261.0,17,4,20.415233113780193,7743,158075.15000000002,4.974659692625598,38518.79
261.0,17,5,16.16588799015298,11374,183870.81,4.047741339898013,46039.01
261.0,17,6,18.339666380707275,10491,192401.44,5.033254217901058,52803.87
261.0,18,0,19.387286611889802,10345,200561.48,5.419745770903819,56067.270000000004
261.0,18,1,19.758304645375365,9644,190549.09000000003,5.179771878888428,49953.72
261.0,18,2,19.537160573708615,9273,181168.09,5.0175531111830045,46527.77
261.0,18,3,19.535558372836512,9071,177207.05,4.9473200308676,44877.14000000001
261.0,18,4,18.539778470803313,9299,172401.4,4.662166899666631,43353.49
261.0,18,5,15.527343858431644,11528,178999.22,3.87416811242193,44661.41000000001
261.0,18,6,18.89141046258632,10571,199701.1,5.277071232617539,55783.920000000006
261.0,19,0,18.259510095011873,10104,184494.08999999997,5.28923792557403,53442.46
261.0,19,1,17.503623275948858,9933,173863.49,4.827945233061512,47955.979999999996
261.0,19,2,17.844835461434652,9633,171899.3,4.81698432471712,46402.01000000001
261.0,19,3,17.962516696703066,9433,169440.42,4.751527615816814,44821.16
261.0,19,4,16.85281535105117,10084,169943.79,4.4339180880602935,44711.63
261.0,19,5,15.212921306259943,10687,162580.49000000002,3.8356320763544494,40991.4
261.0,19,6,18.615073660014627,9571,178164.87,5.265869815066346,50399.64
261.0,20,0,17.085261171797416,10070,172048.58,5.021632571996028,50567.840000000004
261.0,20,1,16.376459847214456,10734,175784.91999999998,4.587514440096889,49242.380000000005
261.0,20,2,16.572375935680622,10821,179329.68,4.567822752056188,49428.41
261.0,20,3,16.456334029624003,10532,173318.11000000002,4.406315039878466,46407.310000000005
261.0,20,4,16.004078095427833,10039,160664.94,4.300077696981771,43168.479999999996
261.0,20,5,14.713760310046707,10063,148064.57,3.6996084666600413,37229.159999999996
261.0,20,6,18.441568505245666,9627,177536.98,5.387984834320142,51870.13000000001
261.0,21,0,17.20809250065325,11481,197566.11,5.066604825363645,58169.69
261.0,21,1,16.138808450035604,12639,203978.4,4.5250953398211875,57192.67999999999
261.0,21,2,16.07811329444274,13028,209465.66,4.413349708320541,57497.12000000001
261.0,21,3,16.237332642652216,12548,203746.05000000002,4.333592604399107,54377.92
261.0,21,4,15.849516654598121,11048,175105.46000000005,4.290014482259232,47396.079999999994
261.0,21,5,14.626028925229228,10579,154728.76,3.76731543624161,39854.42999999999
261.0,21,6,19.005559724193876,9862,187432.83000000002,5.731626444940175,56525.3
261.0,22,0,17.070144222261543,11302,192926.76999999996,4.971039639001947,56182.69
261.0,22,1,15.81289408958784,13417,212161.60000000003,4.360682715957368,58507.28
261.0,22,2,15.616412070459138,13852,216318.53999999998,4.221493647126769,58476.13
261.0,22,3,16.030075391180656,14060,225382.86000000002,4.232379800853486,59507.26
261.0,22,4,15.29259010484928,12208,186691.94,4.072559796854522,49717.810000000005
261.0,22,5,14.625778890208721,11786,172379.43,3.753836755472595,44242.72
261.0,22,6,18.716354976458994,9133,170936.47,5.71347092959597,52181.13
261.0,23,0,17.39023508137432,8295,144252.0,5.149449065702229,42714.67999999999
261.0,23,1,15.485192200037321,10718,165970.29,4.298069602537787,46066.71
261.0,23,2,15.263727943003893,12071,184248.46,4.160685941512716,50223.63999999999
261.0,23,3,15.549797651576693,13541,210559.81,4.155625876966251,56271.33000000001
261.0,23,4,15.398553971486763,13257,204138.63,4.005660405823338,53103.04
261.0,23,5,14.575986035686578,12890,187884.46,3.6175779674166026,46630.58000000001
261.0,23,6,19.38205581019142,7418,143776.08999999997,6.035070099757347,44768.15
262.0,0,0,15.905644020213364,8905,141639.76,4.671896687254351,41603.23999999999
262.0,0,1,14.503312469437653,10225,148296.37,4.075785819070904,41674.909999999996
262.0,0,2,13.70836333878887,12831,175892.00999999998,3.770249395994077,48376.07
262.0,0,3,13.761106996161873,14851,204366.19999999998,3.7429795973335134,55586.990000000005
262.0,0,4,14.177922084367243,20150,285685.12999999995,3.7959181141439213,76487.75000000001
262.0,0,5,13.65550536352801,25170,343709.07,3.5188641239570924,88569.81000000001
262.0,0,6,13.263431125802938,26621,353085.80000000005,3.3741050298636415,89822.05
