dropoff_taxizone_id,average_fare,total_rides,total_fare,average_trip_distance,average_percent_tip
108.0,43.55579526183254,19459,847552.2199999995,14.364859448070307,6.806298059380355
109.0,66.97108176901051,3143,210490.11000000002,23.040302258988223,12.89359017403059
110.0,47.26923076923077,13,614.5,15.916153846153845,16.14955442517324
111.0,27.62676788471436,3886,107357.62000000001,8.421399897066392,14.924200469562825
112.0,19.804551241202248,701457,13892041.100000005,5.460939572917511,16.82026744096839
113.0,10.294049823550363,4127807,42491850.91999996,2.036874446891563,17.186554666679694
114.0,10.525564069629068,3172525,33392615.14999996,2.0721463156318354,16.802811207288425
115.0,50.52374203144922,4706,237764.73,17.33582660433489,10.779794282233688
116.0,18.17141722804352,836485,15200117.939999985,5.068688213177755,11.871668482270378
117.0,49.80333782400174,18557,924200.5400000003,14.737358948105845,5.496733691339939
118.0,57.58809632281157,6146,353936.43999999994,19.909127888057277,12.577130044525141
119.0,24.30532731133819,64984,1579457.3900000008,7.252835005539824,5.046225412926028
120.0,24.31747749900438,12555,305305.93,7.353150935882116,8.55178246775146
121.0,29.105387049504106,47087,1370485.3599999999,9.173452332915657,7.769263053825531
122.0,32.52669761011255,15189,494048.0099999995,9.932709855816707,4.492664309659655
123.0,39.95379435546751,44893,1793645.6900000027,12.960822399928718,7.669432572751019
124.0,29.353930601341364,35188,1032906.1099999999,8.811123962714566,7.454332471963726
125.0,12.198935197087911,1571380,19169162.790000003,2.644967009889381,16.946452489403214
126.0,26.37783539671415,38529,1016311.6199999995,7.976288509953535,5.515813240948746
127.0,28.414299262806693,223008,6336616.049999995,9.201917150954213,12.428891911594082
128.0,27.322994804484548,18285,499600.95999999996,8.67574952146569,13.373776175876184
129.0,20.31105070782405,540883,10985902.039999997,5.596265347589042,8.285641572459568
130.0,25.928132841398835,104892,2719653.7100000065,7.768254108988291,5.463458009475242
131.0,32.77772677219548,43590,1428781.1100000008,10.502823353980276,7.60398839511039
132.0,47.54382750932738,2669211,126904507.36999924,15.164214751099363,14.097487324582078
133.0,32.305505477000985,91656,2960993.410000002,10.201593567251463,13.162056887883145
134.0,38.60673086519499,84166,3249374.1100000013,8.378956466981917,9.274519962092425
135.0,27.54947784465882,68945,1899398.7500000023,8.643015011966053,9.088185428927043
136.0,31.90928447506693,40348,1287475.8100000005,9.94407157727768,5.097589088621845
137.0,9.803162373313139,4194002,41114482.60000005,1.9471242264547943,16.515033450459008
138.0,32.7536774211322,3411978,111754826.77999981,10.022048703127544,18.782159139326165
139.0,27.2626524090462,28476,776331.2899999996,8.58699817390083,4.26527359044641
140.0,10.740628235164802,5330679,57254841.38000007,2.1927863335984528,15.79406179912508
141.0,9.91575960317192,7126109,70660783.74999985,1.9772662584869558,16.5766424477295
142.0,10.07410082631042,7957784,80167518.36999984,2.0099165697385364,16.273069584578536
